"","last_name, first_name","position","league","year","age","xba","xslg","woba","xwoba","xobp","xiso","exit_velocity_avg","launch_angle_avg","barrel_batted_rate","hard_hit_percent","z_swing_percent","oz_swing_percent","in_zone_percent","swing_percent","linedrives_percent","sprint_speed","double","triple","home_run"
"117","Yelich, Christian","RF","NL",2023,31,0.279,0.454,0.353,0.358,0.372,0.175,91.7,3.5,9.2,50.1,68.1,24.8,46.6,45,22.4,28.1,34,1,19
"118","Drury, Brandon","1B","AL",2023,30,0.252,0.44,0.339,0.318,0.299,0.188,89.9,11.8,11,46.3,69.2,34.9,48.7,51.6,24.6,27,30,3,26
"119","Marte, Ketel","2B","NL",2023,29,0.266,0.427,0.361,0.342,0.353,0.161,91.1,10.7,8,42.8,67.2,24.5,49.3,45.5,23,27.6,26,9,25
"120","Bichette, Bo","SS","AL",2023,25,0.312,0.502,0.349,0.363,0.345,0.19,90.2,6.2,9.6,44.9,77.1,36.4,49.6,56.6,30.9,27.1,30,3,20
"121","Hayes, Ke'Bryan","3B","NL",2023,26,0.273,0.44,0.324,0.324,0.313,0.167,92.2,13.2,7.4,48.3,61,30.7,49.1,45.6,24.9,27.1,31,7,15
"122","Varsho, Daulton","LF","AL",2023,26,0.232,0.394,0.293,0.302,0.298,0.161,87.8,20.5,7.3,36.1,70.6,28.1,51.7,50.1,21.5,28.1,23,3,20
"123","Garcia, Maikel","3B","AL",2023,23,0.274,0.393,0.299,0.319,0.33,0.119,91.8,6.1,3.9,50.6,63.6,20.6,52.3,43.1,29.2,28.2,20,4,4
"124","Friedl Jr., TJ","CF","NL",2023,27,0.24,0.321,0.353,0.289,0.318,0.082,86.7,16.1,3.2,27.6,59,24.6,50.9,42.2,22,28.3,22,8,18
"125","Ozuna, Marcell","DH","NL",2023,32,0.283,0.581,0.381,0.396,0.356,0.298,91.8,15.6,16.6,49,69.8,29.7,46.7,48.4,21.9,26.4,29,1,40
"126","Suwinski, Jack","RF","NL",2023,24,0.218,0.461,0.341,0.346,0.337,0.244,90.5,22.4,15.7,43.4,61.1,18.2,48.4,39,23.1,28.6,21,2,26
"127","Realmuto, J.T.","C","NL",2023,32,0.254,0.462,0.324,0.334,0.315,0.208,89.8,16.7,11.2,43.3,70.7,30.6,49.6,50.5,24.2,28.7,28,5,20
"128","Rosario, Amed","SS","AL",2023,27,0.271,0.38,0.297,0.305,0.314,0.109,88.3,7.6,3.4,39.4,69.2,39.4,47,53.4,27.1,29.4,25,8,6
"129","Albies, Ozzie","2B","NL",2023,26,0.266,0.467,0.358,0.34,0.325,0.201,88.7,16.6,8.2,39,77.8,35.1,45.6,54.6,23.7,27.6,30,5,33
"130","Devers, Rafael","3B","AL",2023,26,0.282,0.539,0.359,0.38,0.363,0.257,93.1,12.4,12.7,55.1,77.1,32.5,45.1,52.6,20.6,26,34,0,33
"131","Turner, Trea","SS","NL",2023,30,0.266,0.447,0.333,0.33,0.32,0.181,89.9,13,8.4,42.2,74.2,35.3,45.9,53.1,23.7,30.3,35,5,26
"132","Profar, Jurickson","LF","NL",2023,30,0.247,0.349,0.304,0.306,0.329,0.102,86.5,14.8,4,31.8,68.8,25.1,50.5,47.2,26.7,25.6,27,2,9
"133","Hernandez, Teoscar","RF","AL",2023,30,0.258,0.476,0.317,0.336,0.308,0.218,91.3,12.3,13.8,49.4,73,35.2,48.7,53.6,24.9,28.6,29,2,26
